rank,graph_id,vertices,faces,triangles,min_x,min_y,min_z,max_x,max_y,max_z,material_face_counts
892,874,57,82,82,0.17759709060192108,-0.2346954047679901,0.5032129287719727,0.18388371169567108,-0.2264098823070526,0.51947021484375,"{""0"": 82}"
893,244,50,81,81,-0.2251587212085724,0.3287963569164276,0.3702697455883026,-0.2212372124195099,0.3359679877758026,0.37403103709220886,"{""0"": 81}"
894,1102,55,81,81,0.32293701171875,-0.10380548983812332,0.5944976806640625,0.328094482421875,-0.09526056796312332,0.5986404418945312,"{""0"": 81}"
895,362,55,80,80,-0.1825561374425888,0.0262126587331295,0.2424468845129013,-0.1735381931066513,0.03945538029074669,0.254241943359375,"{""0"": 80}"
896,489,50,80,80,-0.09120173007249832,-0.28399658203125,0.53900146484375,-0.08778376877307892,-0.271087646484375,0.5428237915039062,"{""0"": 80}"
897,746,49,76,76,0.1067810133099556,0.1419677734375,0.250732421875,0.11287689954042435,0.1446075439453125,0.2586822509765625,"{""0"": 76}"
898,680,56,75,75,0.0404815711081028,0.1583862155675888,0.26800537109375,0.04973984137177467,0.1684112399816513,0.2783203125,"{""0"": 75}"
899,755,48,75,75,0.11191560328006744,0.11767578125,0.19696044921875,0.11656953394412994,0.12274932861328125,0.202972412109375,"{""0"": 75}"
900,954,51,75,75,0.2168274223804474,-0.1329040229320526,0.41112518310546875,0.2238769829273224,-0.1287994086742401,0.4363251030445099,"{""0"": 75}"
901,98,51,73,73,-0.29449462890625,0.08543392270803452,0.4689330756664276,-0.28424072265625,0.09114833921194077,0.48131081461906433,"{""0"": 73}"
902,247,46,73,73,-0.2251739501953125,0.17414851486682892,0.22625732421875,-0.220458984375,0.17779536545276642,0.231292724609375,"{""0"": 73}"
903,254,52,73,73,-0.2242431342601776,-0.1827850490808487,0.70050048828125,-0.2146606147289276,-0.1752014309167862,0.7144775390625,"{""0"": 73}"
904,504,48,72,72,-0.08248896151781082,-0.305023193359375,0.49748706817626953,-0.07738489657640457,-0.298919677734375,0.5002307891845703,"{""0"": 72}"
905,750,50,69,69,0.10863500088453293,-0.2814025580883026,0.5160503387451172,0.11685948818922043,-0.2783202826976776,0.5250778198242188,"{""0"": 69}"
906,904,45,67,67,0.19718937575817108,-0.2423705756664276,0.5555343627929688,0.20684818923473358,-0.2359771430492401,0.5593795776367188,"{""0"": 67}"
907,266,47,65,65,-0.2185668796300888,0.07397457212209702,0.26031494140625,-0.2111511081457138,0.07997127622365952,0.277923583984375,"{""0"": 65}"
908,549,46,65,65,-0.05086898058652878,0.1571197360754013,0.19439697265625,-0.04553603380918503,0.1656341403722763,0.200714111328125,"{""0"": 65}"
909,397,47,64,64,-0.15998835861682892,-0.2752991020679474,0.5506134033203125,-0.15032954514026642,-0.2644348442554474,0.5596923828125,"{""0"": 64}"
910,364,45,63,63,-0.1812286227941513,0.05633923038840294,0.230865478515625,-0.1743011325597763,0.05930706486105919,0.2412566989660263,"{""0"": 63}"
911,950,54,63,63,0.2144012749195099,-0.08011624217033386,0.45438385009765625,0.2257995903491974,-0.07014462351799011,0.4609546661376953,"{""0"": 63}"
912,951,44,61,61,0.2161712795495987,0.01464368961751461,0.3029632568359375,0.2244415432214737,0.02221491187810898,0.314971923828125,"{""0"": 61}"
913,521,46,60,60,-0.06896204501390457,-0.349212646484375,0.585968017578125,-0.06559747457504272,-0.343170166015625,0.607147216796875,"{""0"": 60}"
914,81,43,58,58,-0.304473876953125,0.09828182309865952,0.5369148254394531,-0.299102783203125,0.10538478940725327,0.5423088073730469,"{""0"": 58}"
915,454,37,57,57,-0.1186981275677681,0.2472076117992401,0.2498473972082138,-0.11551667004823685,0.2514953315258026,0.2534027099609375,"{""0"": 57}"
916,789,38,57,57,0.14015202224254608,-0.2621764838695526,0.5211582183837891,0.14706425368785858,-0.2585143744945526,0.5258216857910156,"{""0"": 57}"
917,878,39,57,57,0.18045048415660858,-0.2751769721508026,0.5548782348632812,0.19024662673473358,-0.2713012397289276,0.5582351684570312,"{""0"": 57}"
